"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"001G000400",485.317136927784,0.119346586440851,0.198728796218994,0.60055003960943,0.548139722540096,0.851075133876668
"001G000500",360.133009693632,-0.147511090775486,0.529036638744189,-0.278829631016943,0.780375573637499,0.93578294664496
"001G000600",187.430208711985,-0.355823371463784,0.348855668736273,-1.01997302423879,0.307741254551304,0.726526811995524
"001G000700",586.345963710998,0.133225823105317,0.0949208557582402,1.40354637598968,0.160453972875129,0.640733811707378
"001G000800",61.0023745933067,-0.284852152418074,0.467631255083327,-0.609138395523449,0.542432709611534,0.848170817568793
"001G001000",444.930918282769,0.953167514317992,0.357425015232107,2.6667621842277,0.00765858437883811,0.33338374011121
"001G001100",1275.32025969859,1.21645705109014,0.431643127144195,2.81820090392351,0.00482935816351544,0.294079602007194
"001G001200",406.87650395972,-0.203853345402182,0.165332838639675,-1.23298763318556,0.217580378140652,0.67792166485221
"001G001300",2564.74420940733,0.230675032296169,0.344295097933323,0.66999220633935,0.50286275846178,0.828482210367732
"001G001400",3275.95757223852,0.150239993902701,0.123094817569739,1.22052249533237,0.222266867190055,0.681227141586403
"001G001500",3912.82629319691,-0.458922776279587,0.336720434631116,-1.36291929173335,0.172907948002306,0.65202753184587
"001G001600",634.940344670467,0.115290110334654,0.233794034013789,0.493126827726727,0.621922975939001,0.881239277494618
"001G001700",303.36954623266,0.171345928220534,0.375400451577639,0.456435061546793,0.648077157906966,0.891355596896211
"001G001900",186.365778825588,-0.0873757953458596,0.297958825625789,-0.293247884711414,0.769332685313649,0.932299155191275
"001G002000",1490.46827250978,0.593150950219686,0.335500577046906,1.76795806266753,0.077067914868399,0.570920870214032
"001G002100",302.025921602681,-0.249102911002321,0.302220045526736,-0.824243509619498,0.409801209337244,0.783678433223016
"001G002200",161.652682182671,0.187836804120052,0.761298714131466,0.246732065394788,0.805115588999219,0.944180906496341
"001G002400",1116.43545945194,0.281394375402814,0.175434954453966,1.60398123782483,0.108718188310128,0.59859556720306
"001G002700",228.025413247204,0.61451031277228,0.213729665570869,2.87517556877718,0.00403802892649208,0.286008925168353
"001G002800",248.44350973708,-0.126113692306642,0.17688575569604,-0.712966919299911,0.475866227659826,0.817541510400055
"001G003000",152.826087977721,-0.18165820175529,0.198436311710556,-0.915448388399103,0.359956285531839,0.757309308423261
"001G003100",535.172704298772,-0.220501663237972,0.220354445558307,-1.00066809489272,0.316987297056251,0.733202224149238
"001G003200",9284.97878339528,-0.0881417113123191,0.181556026728869,-0.485479402145914,0.62733632034034,0.882730580921675
"001G003500",5411.12387441327,0.183953037398413,0.178110127943929,1.03280503765807,0.301695145762763,0.723821404145455
"001G003600",1541.27711277358,-0.172834913220348,0.134993876023484,-1.28031669518313,0.200433778414472,0.664785136857287
"001G004000",115.88026434658,-0.111852616734546,0.365896829146776,-0.305694413901788,0.759837326902179,0.928875502231217
"001G004033",447.573617041861,-0.00501901498960825,0.127761819451329,-0.0392841539918757,0.968663840146958,0.989991090038592
"001G004100",485.939547561812,-0.167143783603809,0.131299980748634,-1.27299168401095,0.203020992814438,0.667833290335136
"001G004600",345.380826219562,-0.544802600627002,0.320758872241937,-1.69848022229009,0.0894171623945803,0.579123863772778
"001G004700",1557.04778272737,0.335719449393842,0.251944756625616,1.33251215024377,0.182691951540059,0.655101558398593
"001G004800",2130.51642635637,-0.397288916761688,0.331638505028267,-1.19795774838578,0.230933466145472,0.688457387432288
"001G004900",279.448587201008,-0.620504260287799,0.75106528106209,-0.826165549032352,0.408710188116769,0.783243921742712
"001G005000",1295.03363508928,-0.945313595147053,0.525188665181629,-1.79995048983041,0.0718684562456609,0.567976172750246
"001G005200",10655.0892761197,0.000440331586680652,0.221690146216992,0.00198624789687157,0.99841520451121,0.999142441081354
"001G005400",699.729739024646,-0.119549271885934,0.159418426047147,-0.749908745495819,0.453309666928592,0.807333156211875
"001G005500",1678.05014571477,0.641171226369352,0.371805192585768,1.72448163488584,0.0846209315379507,0.573200244846309
"001G005600",515.422850915725,0.347378107355814,0.20450179350752,1.69865555405528,0.0893841024573199,0.579123863772778
"001G005700",320.679652998858,0.0748643840914563,0.127862006359808,0.585509223754754,0.558205366397294,0.854253406200212
"001G005900",385.642973797856,-0.234913708961472,0.325456718932552,-0.721797078677477,0.470419245799035,0.814352329507096
"001G006000",1411.356830188,-0.206077258465569,0.10839985956264,-1.90108418310712,0.0572909869871677,0.537197798560783
"001G006800",300.192831760348,0.732824800006885,0.31750659638657,2.30806165398421,0.020995707577279,0.443791753481317
"001G006900",783.566845827734,-0.285689763334399,0.14269004663881,-2.0021702288567,0.0452664264210129,0.516909162816823
"001G007000",829.565153891307,-0.00948214756251371,0.137414557249188,-0.0690039523637857,0.944986473469332,0.984538655913543
"001G007100",1500.62779035957,0.20100006414486,0.241335136362018,0.832866971526881,0.404919758882287,0.780913537217059
"001G007200",642.333478780942,0.171643534968913,0.162695910283109,1.05499600248239,0.291427153018569,0.71967411869034
"001G007300",2582.96367895866,-0.365624833008873,0.334295251415145,-1.0937182968083,0.274078547091048,0.708770269432417
"001G007400",220.278376784415,0.00486546704280515,0.182166376802227,0.026708919221067,0.978691899161638,0.993048871156453
"001G007500",599.525855043309,-0.0146854763451948,0.268213670703808,-0.054752900203257,0.956335324268128,0.987381058261197
"001G007600",433.537670300602,0.331720608263047,0.213479480076867,1.55387584859962,0.120214033640069,0.608449334279583
"001G007700",5112.94641768389,-0.0078146102453521,0.149531833181126,-0.0522605125551185,0.958321116713558,0.987892680103765
"001G007900",1169.11807998492,-0.0527903786723722,0.0976330947869,-0.540701683047083,0.588713218245749,0.866255008322326
