"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"001G000400",387.903477580301,0.340883997694579,0.139955191922892,2.43566525122117,0.0148644332880548,0.140557792366828
"001G000500",706.376374491963,0.211101499717013,0.344028750387334,0.613615866346456,0.539469196386963,0.775254140787528
"001G000600",187.763132510681,0.0393917492679768,0.447259290572665,0.0880736299910955,0.92981815513348,0.974385386629594
"001G000700",779.416610780325,0.0798392553514821,0.193753165371056,0.412066843907207,0.680290429955356,0.856925687674585
"001G000800",271.611152231107,0.871344806492805,0.444896780065521,1.95853250806733,0.0501675603748858,0.256672005676239
"001G001000",776.030239380787,-0.10519915114639,0.321276779874674,-0.327440878819275,0.743334452167527,0.890130791604886
"001G001100",1185.83453533688,-0.196483050329329,0.542509929607483,-0.362174108907995,0.7172219261797,0.876584135726986
"001G001200",304.563915242704,0.0869520268839265,0.15362434377382,0.566004220086011,0.571390911742301,0.795889639520132
"001G001300",2661.28730207115,-0.446016695784859,0.330629229543578,-1.34899354301061,0.177339040083803,0.466753629586107
"001G001400",2541.37944652869,0.0818782825958515,0.0822347759767009,0.995664931574077,0.31941297445623,0.613988850182834
"001G001500",1019.1346817444,-1.557742346901,0.400009338119,-3.89426495447858,9.84969450429171e-05,0.0100920488295947
"001G001600",601.084148110869,0.084729630824355,0.145439734232907,0.582575533923002,0.560179079554293,0.787938631067473
"001G001700",187.071415849089,0.0880605028475046,0.31954120215426,0.275584188373282,0.782867455406501,0.907597262971822
"001G001900",720.78798920219,0.667565369754008,0.315762429894907,2.11413805618416,0.0345034776289355,0.212557486407684
"001G002000",706.259484756201,0.21723023051285,0.24862313760567,0.873732962285227,0.382263695707335,0.667049846862386
"001G002100",691.370921128699,0.375742519106732,0.24044361224699,1.56270534948027,0.118121915579513,0.384160533955047
"001G002200",1881.77410246746,0.289815065039096,0.621058109668178,0.466647259777253,0.640752268792312,0.836776482167917
"001G002400",1059.83878954478,-0.338301020786175,0.171060643084285,-1.97766718683202,0.0479662643083696,0.251270299474789
"001G002700",223.185227977248,0.299937803027424,0.170708867827147,1.75701360359983,0.0789154905009979,0.318103163698036
"001G002800",366.805023726315,0.198122273619094,0.255371173089309,0.775820822774724,0.437854787457995,0.706428101095081
"001G003000",121.476278381103,0.306965625686015,0.385272538221928,0.79674930142359,0.425596644749971,0.698960470877998
"001G003100",702.705909637969,0.0542411511457021,0.215201035628902,0.252048745895614,0.801003385984592,0.916794791895644
"001G003200",10205.9365677764,-0.220153765684061,0.122823544266522,-1.79243944635188,0.0730626008302673,0.307119283490036
"001G003500",4552.93461781795,-0.245143256711011,0.117109627559682,-2.09328013263538,0.0363241550967229,0.218590568576647
"001G003600",1399.93233093533,-0.0110533634664118,0.131776396533151,-0.0838796913347915,0.933152086614852,0.975756082756996
"001G004000",291.060210455639,-0.539396142427387,0.616482025884398,-0.874958425030438,0.381596527473034,0.666690137505739
"001G004033",405.94622880217,-0.297746793784497,0.233753192439715,-1.2737656785641,0.20274647206002,0.4933007587003
"001G004100",409.898034472327,-0.0837204568463814,0.197168903510471,-0.424612884464994,0.671118898879258,0.851933991743343
"001G004600",39.1412759888661,-2.02429039671279,0.889602351047882,-2.27550027754348,0.0228759360492768,0.174044859810179
"001G004700",2102.63280342446,0.182724258295349,0.145452478473869,1.25624712767047,0.209026384848977,0.501444380412503
"001G004800",1250.65790328731,-0.0489397252251687,0.187104187984886,-0.261564028856062,0.79365757951538,0.913092735845037
"001G004900",862.406266810755,0.659832812222318,0.411346636809729,1.60407975458306,0.108696473850093,0.369131897893885
"001G005000",1639.97718177641,-0.260187655432729,0.255220773798686,-1.01946111815318,0.307984103193297,0.603111331966857
"001G005200",16224.3265562478,-0.113009643801781,0.253314295453482,-0.446124225241499,0.65550751465538,0.843011893744252
"001G005400",760.093099414361,-0.0914071583774406,0.112992091644119,-0.808969522091312,0.418532677480737,0.694065830496613
"001G005500",1286.3698120708,-0.391416939719634,0.28168034459178,-1.38957846095683,0.164656920081191,0.451791203901421
"001G005600",690.608595750118,-0.264743928934873,0.188077420127239,-1.40763271186816,0.159239855905643,0.444121569222592
"001G005700",292.59219008692,-0.310403118874593,0.171571081287969,-1.80918087444822,0.0704229079033998,0.302807436610895
"001G005900",42.5283349370234,0.811448974908643,0.777597998446319,1.04353274639333,0.296701622667051,0.592413782110665
"001G006000",953.404713203152,0.0247669185214037,0.0927507171920206,0.267026706328632,0.789448598752415,0.911288784734101
"001G006800",168.74336669654,0.721325492689203,0.435689952228334,1.65559359126826,0.097804148900657,0.351049047010563
"001G006900",828.972850934312,-0.101950770258751,0.106835031887885,-0.954282209282629,0.339940810974482,0.629442181680726
"001G007000",614.131641583963,-0.309894513652021,0.140315691662706,-2.20855208693945,0.0272058110897008,0.18990435273726
"001G007100",834.478540459399,-0.5548169493708,0.299153847090127,-1.85462080721178,0.063650394700114,0.288082315332629
"001G007200",649.841907478637,-0.0353181034126695,0.151899652514865,-0.232509441779093,0.816142354661193,0.92427290804926
"001G007300",1165.04433996499,0.0904827948347596,0.273683697353005,0.330610831810169,0.740938463319893,0.888669667134695
"001G007400",234.792406754949,-0.367773168857945,0.239632509794305,-1.53473820882498,0.124848146339357,0.395484457198469
"001G007500",312.146162657046,0.0307794136579872,0.196264009282491,0.156826581554671,0.875381523012009,0.950413303057517
"001G007600",397.584463107326,-0.29027452448029,0.285549272455366,-1.0165479392901,0.309368531013017,0.604378512543492
"001G007700",4521.5087619429,-0.118664120218842,0.109225290122278,-1.08641615953592,0.277294915394432,0.575503585864716
