Treatment,ID,Internode,Length,Timepoint
ET,99,int8,7,2
ET,99,int9,4.5,2
ET,99,int10,4.2,2
BL,203,hyp,1.9,2
BL,203,ep,2.6,2
BL,203,int1,3.3,2
BL,203,int2,2.4,2
BL,203,int3,4,2
BL,203,int4,9.4,2
BL,203,int5,6.8,2
BL,203,int6,3.4,2
BL,203,int7,5,2
BL,203,int8,5.4,2
BL,203,int9,4.1,2
BL,203,int10,1.2,2
BL,241,hyp,1.7,2
BL,241,ep,2.3,2
BL,241,int1,3.3,2
BL,241,int2,2.4,2
BL,241,int3,5.1,2
BL,241,int4,9.8,2
BL,241,int5,7.6,2
BL,241,int6,7.4,2
BL,241,int7,7.5,2
BL,241,int8,5.7,2
BL,241,int9,1.9,2
BL,241,int10,0.5,2
BL,229,hyp,3.4,2
BL,229,ep,2.5,2
BL,229,int1,3.5,2
BL,229,int2,2.8,2
BL,229,int3,2.3,2
BL,229,int4,4.9,2
BL,229,int5,3.4,2
BL,229,int6,4.3,2
BL,229,int7,5.3,2
BL,229,int8,3.5,2
BL,229,int9,1.2,2
BL,229,int10,NA,2
BL,230,hyp,2,2
BL,230,ep,2.3,2
BL,230,int1,3.4,2
BL,230,int2,2.6,2
BL,230,int3,3.2,2
BL,230,int4,5.5,2
BL,230,int5,4,2
BL,230,int6,3.7,2
BL,230,int7,4.6,2
BL,230,int8,6.4,2
BL,230,int9,6,2
BL,230,int10,2,2
BZ,235,hyp,2.5,2
BZ,235,ep,2.4,2
BZ,235,int1,3.6,2
BZ,235,int2,4,2
BZ,235,int3,4.9,2
BZ,235,int4,1.8,2
BZ,235,int5,6,2
BZ,235,int6,6.7,2
BZ,235,int7,6.6,2
BZ,235,int8,5.8,2
BZ,235,int9,4.2,2
BZ,235,int10,1.4,2
BZ,227,hyp,1.8,2
BZ,227,ep,2.9,2
BZ,227,int1,4.3,2
BZ,227,int2,3.7,2
BZ,227,int3,4.2,2
BZ,227,int4,1.8,2
BZ,227,int5,6.8,2
BZ,227,int6,8.6,2
BZ,227,int7,7.7,2
BZ,227,int8,8.5,2
BZ,227,int9,4.8,2
BZ,227,int10,1.4,2
BZ,237,hyp,1.9,2
BZ,237,ep,2.5,2
BZ,237,int1,3.9,2
BZ,237,int2,3.1,2
BZ,237,int3,4.3,2
BZ,237,int4,1.4,2
BZ,237,int5,2.9,2
BZ,237,int6,4.3,2
BZ,237,int7,5.7,2
BZ,237,int8,6.2,2
BZ,237,int9,4.6,2
BZ,237,int10,1.5,2
ET,233,hyp,1.9,2
ET,233,ep,4.8,2
ET,233,int1,5.3,2
ET,233,int2,2.6,2
ET,233,int3,8.8,2
ET,233,int4,6.1,2
ET,233,int5,13.5,2
ET,233,int6,11.7,2
ET,233,int7,6.5,2
ET,233,int8,2.9,2
ET,233,int9,1.1,2
ET,233,int10,0.5,2
ET,228,hyp,2.2,2
ET,228,ep,2.9,2
ET,228,int1,4.1,2
ET,228,int2,6.5,2
ET,228,int3,2.8,2
ET,228,int4,2.9,2
ET,228,int5,13.2,2
ET,228,int6,5.7,2
ET,228,int7,3.7,2
ET,228,int8,3.3,2
ET,228,int9,3.7,2
ET,228,int10,1.7,2
ET,232,hyp,1.9,2
ET,232,ep,2.1,2
ET,232,int1,3.3,2
ET,232,int2,2.7,2
ET,232,int3,4.8,2
ET,232,int4,2.5,2
ET,232,int5,9,2
ET,232,int6,9.2,2
ET,232,int7,9.8,2
ET,232,int8,8.5,2
ET,232,int9,4.9,2
ET,232,int10,1.9,2
ET,225,hyp,1.9,2
ET,225,ep,2.3,2
ET,225,int1,3.3,2
ET,225,int2,4.7,2
ET,225,int3,7.1,2
ET,225,int4,2.4,2
ET,225,int5,13.4,2
ET,225,int6,12,2
ET,225,int7,7.6,2
ET,225,int8,3.8,2
ET,225,int9,1.8,2
ET,225,int10,0.4,2
BZ,363,int1,1.6,2
BZ,363,int2,2,2
BZ,363,int3,2.8,2
BZ,363,int4,1.2,2
BZ,363,int5,1.1,2
BZ,363,int6,1.8,2
BZ,363,int7,2,2
BZ,363,int8,2,2
BZ,363,int9,2.4,2
BZ,363,int10,0.7,2
BZ,359,int1,1.4,2
BZ,359,int2,0.7,2
BZ,359,int3,3.6,2
BZ,359,int4,2.5,2
BZ,359,int5,1.9,2
BZ,359,int6,2.5,2
BZ,359,int7,2,2
BZ,359,int8,1.1,2
BZ,359,int9,0.3,2
BZ,359,int10,0.1,2
BZ,357,int1,1.5,2
BZ,357,int2,1.9,2
BZ,357,int3,3.7,2
BZ,357,int4,2.6,2
BZ,357,int5,3.7,2
BZ,357,int6,3.8,2
BZ,357,int7,3.1,2
BZ,357,int8,2.4,2
BZ,357,int9,1.8,2
BZ,357,int10,0.5,2
ET,361,int1,2,2
ET,361,int2,3.6,2
ET,361,int3,5.5,2
ET,361,int4,2.7,2
ET,361,int5,3.8,2
ET,361,int6,3.6,2
ET,361,int7,4,2
ET,361,int8,3.4,2
ET,361,int9,1.4,2
ET,361,int10,0.3,2
BL,366,int1,1.1,2
BL,366,int2,1.1,2
BL,366,int3,1.3,2
BL,366,int4,3,2
BL,366,int5,5.2,2
BL,366,int6,7.8,2
BL,366,int7,9,2
BL,366,int8,9.5,2
BL,366,int9,4.7,2
BL,366,int10,2,2
BZ,352,int1,1.5,2
BZ,352,int2,2.1,2
BZ,352,int3,3.6,2
BZ,352,int4,3.2,2
BZ,352,int5,3.9,2
BZ,352,int6,3.6,2
BZ,352,int7,4.8,2
BZ,352,int8,4.1,2
BZ,352,int9,2,2
BZ,352,int10,1,2
BZ,362,int1,1.6,2
BZ,362,int2,1.3,2
BZ,362,int3,2.2,2
BZ,362,int4,3.5,2
BZ,362,int5,4,2
BZ,362,int6,4.4,2
BZ,362,int7,4,2
BZ,362,int8,3.3,2
BZ,362,int9,1,2
BZ,362,int10,0.2,2
ET,355,int1,1.3,2
ET,355,int2,1.6,2
ET,355,int3,2.9,2
ET,355,int4,4,2
ET,355,int5,5.3,2
ET,355,int6,5.9,2
ET,355,int7,5,2
ET,355,int8,3.5,2
ET,355,int9,4.7,2
ET,355,int10,3.8,2
ET,356,int1,2,2
ET,356,int2,4,2
ET,356,int3,5.5,2
ET,356,int4,4,2
ET,356,int5,7,2
ET,356,int6,8.2,2
ET,356,int7,6.5,2
ET,356,int8,3.2,2
ET,356,int9,1.5,2
ET,356,int10,0.4,2
ET,370,int1,1.5,2
ET,370,int2,2.2,2
ET,370,int3,3.5,2
ET,370,int4,4.2,2
ET,370,int5,6.2,2
ET,370,int6,3.9,2
ET,370,int7,8.8,2
ET,370,int8,6.6,2
ET,370,int9,3,2
ET,370,int10,1.5,2
BZ,354,int1,0.9,2
BZ,354,int2,1.5,2
BZ,354,int3,2.5,2
BZ,354,int4,4.3,2
BZ,354,int5,3.8,2
BZ,354,int6,4.8,2
BZ,354,int7,6,2
BZ,354,int8,6.1,2
BZ,354,int9,4,2
BZ,354,int10,1.5,2
BL,351,int1,1.2,2
BL,351,int2,1,2
BL,351,int3,3.2,2
BL,351,int4,5,2
BL,351,int5,4.5,2
BL,351,int6,3.2,2
BL,351,int7,4,2
BL,351,int8,4.6,2
BL,351,int9,5,2
BL,351,int10,2.1,2
BL,368,int1,2.3,2
BL,368,int2,3.5,2
BL,368,int3,5.7,2
BL,368,int4,6,2
BL,368,int5,3,2
BL,368,int6,3,2
BL,368,int7,3.6,2
BL,368,int8,2.7,2
BL,368,int9,1.4,2
BL,368,int10,0.2,2
BL,369,int1,1.2,2
BL,369,int2,2,2
BL,369,int3,3,2
BL,369,int4,5.5,2
BL,369,int5,5,2
BL,369,int6,3.7,2
BL,369,int7,4.2,2
BL,369,int8,4.9,2
BL,369,int9,3.2,2
BL,369,int10,0.8,2
BL,358,int1,2,2
BL,358,int2,2,2
BL,358,int3,4,2
BL,358,int4,5.7,2
BL,358,int5,7.4,2
BL,358,int6,5.6,2
BL,358,int7,5,2
BL,358,int8,2.8,2
BL,358,int9,1.3,2
BL,358,int10,0.1,2
BL,367,int1,2,2
BL,367,int2,2.2,2
BL,367,int3,4.8,2
BL,367,int4,5.9,2
BL,367,int5,7.3,2
BL,367,int6,6.8,2
BL,367,int7,7.1,2
BL,367,int8,6.5,2
BL,367,int9,5.5,2
BL,367,int10,0.7,2
