"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"001G000400",387.903477580301,0.0745992659689412,0.140641750844331,0.530420486954197,0.59582042477326,0.799437419231395
"001G000500",706.376374491963,0.305367804973327,0.344077227572793,0.887497865312005,0.374810914978124,0.644863587038147
"001G000600",187.763132510681,0.0543764062603577,0.447473964477009,0.121518592313881,0.903280289293,0.960559333695172
"001G000700",779.416610780325,0.100688711418403,0.193868635496521,0.519365657887504,0.603505774945291,0.804433322406536
"001G000800",271.611152231107,0.0655990932362463,0.445519201964516,0.147241898771113,0.882941090544436,0.952951327526467
"001G001000",776.030239380787,-0.852358617389726,0.321623077200718,-2.65017866506447,0.00804492148950685,0.120186450096665
"001G001100",1185.83453533688,-1.37195999963233,0.542728547798436,-2.52789355783412,0.0114749135294795,0.136800283491985
"001G001200",304.563915242704,-0.0255996586220563,0.154208241238686,-0.16600707210215,0.868151384666653,0.946362902322175
"001G001300",2661.28730207115,-0.692908057578956,0.330678419670186,-2.09541359932122,0.036134241658552,0.219810872142025
"001G001400",2541.37944652869,-0.0829209292962414,0.0823851622449056,-1.00650319835195,0.314173573883438,0.595892028923415
"001G001500",1019.1346817444,-0.222449616270993,0.399745931905759,-0.556477498621389,0.577884472555072,0.789510941206662
"001G001600",601.084148110869,0.139025220402069,0.145610930108702,0.954771872539263,0.339693074486192,0.616479175458509
"001G001700",187.071415849089,-0.764717995217343,0.321092612147167,-2.38161192842035,0.0172370515922153,0.160543421666916
"001G001900",720.78798920219,0.625745472077218,0.315849753379369,1.98114915519858,0.0475745492031479,0.248227710514243
"001G002000",706.259484756201,-0.171352355828232,0.248897232045287,-0.688446208984174,0.491171833103989,0.731800452383194
"001G002100",691.370921128699,-0.0263676025207609,0.240730256051681,-0.109531734619599,0.91278075259636,0.964278687150781
"001G002200",1881.77410246746,0.953698184718445,0.621035490779909,1.53565810469346,0.124622255361924,0.388251051211565
"001G002400",1059.83878954478,-0.336956573601764,0.171175223257569,-1.96848917261082,0.0490117806970076,0.252632676987716
"001G002700",223.185227977248,0.0563851643359046,0.171649513299322,0.328490091536586,0.742541134845429,0.879885538620004
"001G002800",366.805023726315,0.280799392867142,0.255505942530606,1.09899358929199,0.271770862155467,0.558164236741295
"001G003000",121.476278381103,-0.0161221118120831,0.386169768985261,-0.04174876727002,0.966698977166318,0.987852329342154
"001G003100",702.705909637969,-0.166960223329124,0.215439727589945,-0.774974166542331,0.438354924800347,0.693884265833835
"001G003200",10205.9365677764,-0.264113155829679,0.122842545641869,-2.15001369802012,0.0315541312836054,0.206492906141913
"001G003500",4552.93461781795,-0.145879490302772,0.117133222702358,-1.24541515154466,0.212979186671677,0.497902652746394
"001G003600",1399.93233093533,0.162936516196878,0.131811512674969,1.23613266315105,0.216409255393373,0.501989535820135
"001G004000",291.060210455639,-1.36659881621737,0.61708213052293,-2.21461414716269,0.0267865601443106,0.193010044870181
"001G004033",405.94622880217,-0.264977794617473,0.233943130533803,-1.13265900996048,0.257357477418997,0.542292701031452
"001G004100",409.898034472327,0.0210020435811546,0.197313908895495,0.106439752264388,0.915233454457475,0.965707711363192
"001G004600",39.1412759888661,-0.409510342749331,0.885128524561329,-0.462656361630968,0.643610702383189,0.826668119002437
"001G004700",2102.63280342446,0.160541240206187,0.145518532857327,1.103235698257,0.269924822495212,0.555838845106496
"001G004800",1250.65790328731,0.162152655460047,0.187120512443756,0.866568038652558,0.386178731939198,0.653727678313119
"001G004900",862.406266810755,0.311177869018255,0.411463203276981,0.756271439438492,0.449486468194852,0.702418448290852
"001G005000",1639.97718177641,0.597611987489495,0.255116669880717,2.34250465784505,0.0191547948851152,0.169203993201195
"001G005200",16224.3265562478,-0.425403530425554,0.253325326563758,-1.67927753689676,0.093097966755074,0.338599215235323
"001G005400",760.093099414361,-0.0469673378695508,0.113181694107859,-0.414972918012625,0.678161728655646,0.84696798412855
"001G005500",1286.3698120708,-0.271192742225273,0.281711677552491,-0.962660634381199,0.335717858012636,0.612878902905732
"001G005600",690.608595750118,-0.367271167851015,0.188299737348969,-1.95046033001291,0.0511212771994814,0.257273044066995
"001G005700",292.59219008692,-0.104921275699208,0.171661177724978,-0.611211440406782,0.541059610508212,0.765828184087458
"001G005900",42.5283349370234,1.03015340572546,0.77768391728508,1.3246428051666,0.185289651455926,0.467488259463868
"001G006000",953.404713203152,0.0908249404734084,0.0929122158979249,0.977534973153481,0.328304372354125,0.607337316412721
"001G006800",168.74336669654,0.70012231957611,0.435939458772725,1.60600814055035,0.108272121340487,0.361077091596733
"001G006900",828.972850934312,-0.0409727446846008,0.10700519004827,-0.382904274700302,0.701790741731831,0.858503198461656
"001G007000",614.131641583963,0.0584958734101325,0.140224729880692,0.417158039526285,0.676562814603833,0.84631662635063
"001G007100",834.478540459399,-0.629994681787969,0.299269004321783,-2.10511169780409,0.0352815862149619,0.217233319148496
"001G007200",649.841907478637,-0.10195069939815,0.152148306654154,-0.670074492711199,0.50281030418848,0.739420090303268
"001G007300",1165.04433996499,0.187766213791674,0.273720835476756,0.685977059307999,0.492727574834398,0.73283555217541
"001G007400",234.792406754949,-0.11405540736564,0.239647107924581,-0.475930664690242,0.63412377498958,0.820866401104457
"001G007500",312.146162657046,0.250753394044221,0.196315432702606,1.27729843034848,0.201496907583273,0.486152260062262
"001G007600",397.584463107326,-0.642973160275945,0.285998219855425,-2.24817189631801,0.0245652309852624,0.18626042228066
"001G007700",4521.5087619429,-0.240594022682434,0.109284920703658,-2.20152991952878,0.0276985309939425,0.194840524706261
"001G007900",1166.02053682856,-0.0161259429553263,0.108102412505033,-0.149172831407213,0.881417257498705,0.952130478349372
"001G008000",2155.75619636234,0.339958566936475,0.17537422091177,1.93847513716116,0.052565281281147,0.260385397796623
"001G008200",969.417486062766,-0.00500775689993199,0.194260240981354,-0.0257785992369517,0.979433931511029,0.992449864211108
"001G008400",409.638688112108,0.177594100928618,0.251662537396503,0.705683502860071,0.480384982440582,0.72481260574788
"001G008500",607.886605514499,-0.618375299391424,0.268771363961667,-2.30074845131053,0.0214058537062404,0.175975336358593
"001G008600",1290.08381692848,-0.00191658730061767,0.0796692936669288,-0.0240567879091573,0.980807311590332,0.992449864211108
"001G009000",3476.30086357672,0.678028584976352,0.216713718094776,3.12868327366257,0.00175591468070974,0.062578066904745
"001G009100",3718.60862823476,-0.386687205867565,0.167441880213584,-2.30938165155765,0.020922412290675,0.174928584264072
"001G009300",921.483158371045,0.257442276103812,0.219304481469755,1.17390339850085,0.24043372106009,0.525952890644935
"001G009400",544.180087607635,-0.126716853925823,0.199106470967046,-0.636427602329391,0.524497754821662,0.7542946743487
"001G009500",390.201151393708,0.169502655243446,0.164701905030239,1.02914811587836,0.303410078880119,0.586560954917965
"001G009700",286.157512637908,-0.281762860461876,0.428106899678326,-0.658160054588209,0.510435289659604,0.74451582351403
"001G009900",11847.4772947282,-0.00761062830560332,0.177727426069038,-0.0428219125991673,0.965843496280981,0.98730583087748
